"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
"""grossir""","""to get bigger""","""ai grossi""","""as grossi""","""a grossi""","""a grossi""","""avons grossi""","""avez grossi""","""ont grossi""","""ont grossi"""
"""guérir""","""to heal""","""ai guéri""","""as guéri""","""a guéri""","""a guéri""","""avons guéri""","""avez guéri""","""ont guéri""","""ont guéri"""
"""maigrir""","""to loose weight""","""ai maigri""","""as maigri""","""a maigri""","""a maigri""","""avons maigri""","""avez maigri""","""ont maigri""","""ont maigri"""
"""obéir""","""to obey""","""ai obéi""","""as obéi""","""a obéi""","""a obéi""","""avons obéi""","""avez obéi""","""ont obéi""","""ont obéi"""
"""réagir""","""to react""","""ai réagi""","""as réagi""","""a réagi""","""a réagi""","""avons réagi""","""avez réagi""","""ont réagi""","""ont réagi"""
"""réfléchir""","""to think, reflect""","""ai réfléchi""","""as réfléchi""","""a réfléchi""","""a réfléchi""","""avons réfléchi""","""avez réfléchi""","""ont réfléchi""","""ont réfléchi"""
"""refroidir""","""to cool down""","""ai refroidi""","""as refroidi""","""a refroidi""","""a refroidi""","""avons refroidi""","""avez refroidi""","""ont refroidi""","""ont refroidi"""
"""remplir""","""to fill""","""ai rempli""","""as rempli""","""a rempli""","""a rempli""","""avons rempli""","""avez rempli""","""ont rempli""","""ont rempli"""
"""réussir""","""to succeed""","""ai réussi""","""as réussi""","""a réussi""","""a réussi""","""avons réussi""","""avez réussi""","""ont réussi""","""ont réussi"""
"""rougir""","""to turn red, blush""","""ai rougi""","""as rougi""","""a rougi""","""a rougi""","""avons rougi""","""avez rougi""","""ont rougi""","""ont rougi"""
"""vieillir""","""to get older""","""ai vieilli""","""as vieilli""","""a vieilli""","""a vieilli""","""avons vieilli""","""avez vieilli""","""ont vieilli""","""ont vieilli"""
,,,,,,,,,
"""admettre""","""to admit""","""ai admis""","""as admis""","""a admis""","""a admis""","""avons admis""","""avez admis""","""ont admis""","""ont admis"""
"""aller""","""to go""","""suis allé""","""es allé""","""est allé""","""est allée""","""sommes allés""","""êtes allés""","""sont allés""","""sont allées"""
"""attendre""","""to wait""","""ai attendu""","""as attendu""","""a attendu""","""a attendu""","""avons attendu""","""avez attendu""","""ont attendu""","""ont attendu"""
"""avoir""","""to have""","""ai eu""","""as eu""","""a eu""","""a eu""","""avons eu""","""avez eu""","""ont eu""","""ont eu"""
"""boire""","""to drink""","""ai bu""","""as bu""","""a bu""","""a bu""","""avons bu""","""avez bu""","""ont bu""","""ont bu"""
"""commettre""","""to commit""","""ai commis""","""as commis""","""a commis""","""a commis""","""avons commis""","""avez commis""","""ont commis""","""ont commis"""
"""comprendre""","""to understand""","""ai compris""","""as compris""","""a compris""","""a compris""","""avons compris""","""avez compris""","""ont compris""","""ont compris"""
"""connaître""","""to know something""","""ai connu""","""as connu""","""a connu""","""a connu""","""avons connu""","""avez connu""","""ont connu""","""ont connu"""
"""croire""","""to believe""","""ai cru""","""as cru""","""a cru""","""a cru""","""avons cru""","""avez cru""","""ont cru""","""ont cru"""
"""défendre""","""to defend, forbid""","""ai défendu""","""as défendu""","""a défendu""","""a défendu""","""avons défendu""","""avez défendu""","""ont défendu""","""ont défendu"""
"""descendre""","""to go down""","""suis descendu""","""es descendu""","""est descendu""","""est descendue""","""sommes descendus""","""êtes descendus""","""sont descendus""","""sont descendues"""
"""devenir""","""to become""","""suis devenu""","""es devenu""","""est devenu""","""est devenue""","""sommes devenus""","""êtes devenus""","""sont devenus""","""sont devenues"""
"""devoir""","""to have to""","""ai dû""","""as dû""","""a dû""","""a dû""","""avons dû""","""avez dû""","""ont dû""","""ont dû"""
"""dormir""","""to sleep""","""ai dormi""","""as dormi""","""a dormi""","""a dormi""","""avons dormi""","""avez dormi""","""ont dormi""","""ont dormi"""
"""écrire""","""to write""","""ai écrit""","""as écrit""","""a écrit""","""a écrit""","""avons écrit""","""avez écrit""","""ont écrit""","""ont écrit"""
"""entendre""","""to hear""","""ai entendu""","""as entendu""","""a entendu""","""a entendu""","""avons entendu""","""avez entendu""","""ont entendu""","""ont entendu"""
"""envoyer""","""to send""","""ai envoyé""","""as envoyé""","""a envoyé""","""a envoyé""","""avons envoyé""","""avez envoyé""","""ont envoyé""","""ont envoyé"""
"""espérer""","""to hope""","""ai espéré""","""as espéré""","""a espéré""","""a espéré""","""avons espéré""","""avez espéré""","""ont espéré""","""ont espéré"""
"""être""","""to be""","""ai été""","""as été""","""a été""","""a été""","""avons été""","""avez été""","""ont été""","""ont été"""
"""faire""","""to do""","""ai fait""","""as fait""","""a fait""","""a fait""","""avons fait""","""avez fait""","""ont fait""","""ont fait"""
