"""aller""","""to go""","""allais""","""allais""","""allait""","""allions""","""alliez""","""allaient"""
"""attendre""","""to wait""","""attendais""","""attendais""","""attendait""","""attendions""","""attendiez""","""attendaient"""
"""avoir""","""to have""","""avais""","""avais""","""avait""","""avions""","""aviez""","""avaient"""
"""boire""","""to drink""","""buvais""","""buvais""","""buvait""","""buvions""","""buviez""","""buvaient"""
"""commettre""","""to commit""","""commettais""","""commettais""","""commettait""","""commettions""","""commettiez""","""commettaient"""
"""comprendre""","""to understand""","""comprenais""","""comprenais""","""comprenait""","""comprenions""","""compreniez""","""comprenaient"""
"""connaître""","""to know something""","""connaissais""","""connaissais""","""connaissait""","""connaissions""","""connaissiez""","""connaissaient"""
"""croire""","""to believe""","""croyais""","""croyais""","""croyait""","""croyions""","""croyiez""","""croyaient"""
"""défendre""","""to defend, forbid""","""défendais""","""défendais""","""défendait""","""défendions""","""défendiez""","""défendaient"""
"""descendre""","""to go down""","""descendais""","""descendais""","""descendait""","""descendions""","""descendiez""","""descendaient"""
"""devenir""","""to become""","""devenais""","""devenais""","""devenait""","""devenions""","""deveniez""","""devenaient"""
"""devoir""","""to have to""","""devais""","""devais""","""devait""","""devions""","""deviez""","""devaient"""
"""dormir""","""to sleep""","""dormais""","""dormais""","""dormait""","""dormions""","""dormiez""","""dormaient"""
"""écrire""","""to write""","""écrivais""","""écrivais""","""écrivait""","""écrivions""","""écriviez""","""écrivaient"""
"""entendre""","""to hear""","""entendais""","""entendais""","""entendait""","""entendions""","""entendiez""","""entendaient"""
"""envoyer""","""to send""","""envoyais""","""envoyais""","""envoyait""","""envoyions""","""envoyiez""","""envoyaient"""
"""espérer""","""to hope""","""espérais""","""espérais""","""espérait""","""espérions""","""espériez""","""espéraient"""
"""être""","""to be""","""étais""","""étais""","""était""","""étions""","""étiez""","""étaient"""
"""faire""","""to do""","""faisais""","""faisais""","""faisait""","""faisions""","""faisiez""","""faisaient"""
"""mettre""","""to set, to put on""","""mettais""","""mettais""","""mettait""","""mettions""","""mettiez""","""mettaient"""
"""mourir""","""to die""","""mourais""","""mourais""","""mourait""","""mourions""","""mouriez""","""mouraient"""
"""naître""","""to be born""","""naissais""","""naissais""","""naissait""","""naissions""","""naissiez""","""naissaient"""
"""partir""","""to leave""","""partais""","""partais""","""partait""","""partions""","""partiez""","""partaient"""
"""perdre""","""to loose""","""perdais""","""perdais""","""perdait""","""perdions""","""perdiez""","""perdaient"""
"""permettre""","""to allow""","""permettais""","""permettais""","""permettait""","""permettions""","""permettiez""","""permettaient"""
"""pouvoir""","""to be able to""","""pouvais""","""pouvais""","""pouvait""","""pouvions""","""pouviez""","""pouvaient"""
"""prendre""","""to take""","""prenais""","""prenais""","""prenait""","""prenions""","""preniez""","""prenaient"""
"""promettre""","""to promise""","""promettais""","""promettais""","""promettait""","""promettions""","""promettiez""","""promettaient"""
"""remettre""","""to postpone""","""remettais""","""remettais""","""remettait""","""remettions""","""remettiez""","""remettaient"""
"""rendre""","""to give back""","""rendais""","""rendais""","""rendait""","""rendions""","""rendiez""","""rendaient"""
"""répondre""","""to answer""","""répondais""","""répondais""","""répondait""","""répondions""","""répondiez""","""répondaient"""
"""revenir""","""to come back""","""revenais""","""revenais""","""revenait""","""revenions""","""reveniez""","""revenaient"""
"""rire""","""to laugh""","""riais""","""riais""","""riait""","""riions""","""riiez""","""riaient"""
"""savoir""","""to know how to""","""savais""","""savais""","""savait""","""savions""","""saviez""","""savaient"""
"""sortir""","""to go out""","""sortais""","""sortais""","""sortait""","""sortions""","""sortiez""","""sortaient"""
"""sourire""","""to smile""","""souriais""","""souriais""","""souriait""","""souriions""","""souriiez""","""souriaient"""
"""suivre""","""to follow""","""suivais""","""suivais""","""suivait""","""suivions""","""suiviez""","""suivaient"""
"""vendre""","""to sell""","""vendais""","""vendais""","""vendait""","""vendions""","""vendiez""","""vendaient"""
"""venir""","""to come""","""venais""","""venais""","""venait""","""venions""","""veniez""","""venaient"""
"""vouloir""","""to want""","""voulais""","""voulais""","""voulait""","""voulions""","""vouliez""","""voulaient"""
,,,,,,,
""" s'habiller""","""to get dressed""","""m'habillais""","""t'habillais""","""s'habillait""","""nous habillions""","""vous habilliez""","""s'habillaient"""
"""s'aimer""","""to love each other""","""m'aimais""","""t'aimais""","""s'aimait""","""nous aimions""","""vous aimiez""","""s'aimaient"""
"""s'amuser""","""to have fun""","""m'amusais""","""t'amusais""","""s'amusait""","""nous amusions""","""vous amusiez""","""s'amusaient"""
"""s'appeler""","""to be named""","""m'appelais""","""t'appelais""","""s'appelait""","""nous appelions""","""vous appeliez""","""s'appelaient"""
"""s'arrêter""","""to stop""","""m'arrêtais""","""t'arrêtais""","""s'arrêtait""","""nous arrêtions""","""vous arrêtiez""","""s'arrêtaient"""
"""se brosser""","""to brush""","""me brossais""","""te brossais""","""se brossait""","""nous brossions""","""vous brossiez""","""se brossaient"""
"""se confier""","""to confide""","""me confiais""","""te confiais""","""se confiait""","""nous confiions""","""vous confiiez""","""se confiaient"""
"""se coucher""","""to go to bed""","""me couchais""","""te couchais""","""se couchait""","""nous couchions""","""vous couchiez""","""se couchaient"""
"""se débrouiller""","""to manage""","""me débrouillais""","""te débrouillais""","""se débrouillait""","""nous débrouillions""","""vous débrouilliez""","""se débrouillaient"""
